,headline,url,img_src,tag,topic
10,ข่าวปลอม อย่าแชร์!  ทานวิตามินบี เป็นประจำก่อนนอน ช่วยป้องกันโรคหัวใจ,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%97%e0%b8%b2%e0%b8%99%e0%b8%a7%e0%b8%b4%e0%b8%95%e0%b8%b2%e0%b8%a1%e0%b8%b4%e0%b8%99%e0%b8%9a%e0%b8%b5-%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%88%e0%b8%b3%e0%b8%81%e0%b9%88%e0%b8%ad%e0%b8%99%e0%b8%99%e0%b8%ad%e0%b8%99-%e0%b8%8a%e0%b9%88%e0%b8%a7%e0%b8%a2%e0%b8%9b%e0%b9%89%e0%b8%ad%e0%b8%87%e0%b8%81%e0%b8%b1%e0%b8%99%e0%b9%82%e0%b8%a3%e0%b8%84%e0%b8%ab%e0%b8%b1%e0%b8%a7%e0%b9%83%e0%b8%88,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-31.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
11,อย. เปิดระบบยื่นคำขอจดแจ้งเครื่องสำอาง ผ่านระบบออนไลน์ ตลอด 24 ชั่วโมง จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%ad%e0%b8%a2-%e0%b9%80%e0%b8%9b%e0%b8%b4%e0%b8%94%e0%b8%a3%e0%b8%b0%e0%b8%9a%e0%b8%9a%e0%b8%a2%e0%b8%b7%e0%b9%88%e0%b8%99%e0%b8%84%e0%b8%b3%e0%b8%82%e0%b8%ad%e0%b8%88%e0%b8%94%e0%b9%81%e0%b8%88%e0%b9%89%e0%b8%87%e0%b9%80%e0%b8%84%e0%b8%a3%e0%b8%b7%e0%b9%88%e0%b8%ad%e0%b8%87%e0%b8%aa%e0%b8%b3%e0%b8%ad%e0%b8%b2%e0%b8%87-%e0%b8%9c%e0%b9%88%e0%b8%b2%e0%b8%99%e0%b8%a3%e0%b8%b0%e0%b8%9a%e0%b8%9a%e0%b8%ad%e0%b8%ad%e0%b8%99%e0%b9%84%e0%b8%a5%e0%b8%99%e0%b9%8c-%e0%b8%95%e0%b8%a5%e0%b8%ad%e0%b8%94-24-%e0%b8%8a%e0%b8%b1%e0%b9%88%e0%b8%a7%e0%b9%82%e0%b8%a1%e0%b8%87-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-30.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
12,ข่าวปลอม อย่าแชร์! ห้ามกรอกลงทะเบียนจดแจ้งปลูกกัญชาของทางอย. เพราะเป็นของมิจฉาชีพ,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%ab%e0%b9%89%e0%b8%b2%e0%b8%a1%e0%b8%81%e0%b8%a3%e0%b8%ad%e0%b8%81%e0%b8%a5%e0%b8%87%e0%b8%97%e0%b8%b0%e0%b9%80%e0%b8%9a%e0%b8%b5%e0%b8%a2%e0%b8%99%e0%b8%88%e0%b8%94%e0%b9%81%e0%b8%88%e0%b9%89%e0%b8%87%e0%b8%9b%e0%b8%a5%e0%b8%b9%e0%b8%81%e0%b8%81%e0%b8%b1%e0%b8%8d%e0%b8%8a%e0%b8%b2%e0%b8%82%e0%b8%ad%e0%b8%87%e0%b8%97%e0%b8%b2%e0%b8%87%e0%b8%ad%e0%b8%a2-%e0%b9%80%e0%b8%9e%e0%b8%a3%e0%b8%b2%e0%b8%b0%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b8%82%e0%b8%ad%e0%b8%87%e0%b8%a1%e0%b8%b4%e0%b8%88%e0%b8%89%e0%b8%b2%e0%b8%8a%e0%b8%b5%e0%b8%9e,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-35.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
13,ข่าวปลอม อย่าแชร์! ผลิตภัณฑ์ Hafaz รักษาโรคหัวใจ หลอดเลือด และความดันโลหิต,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b8%a0%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c-hafaz-%e0%b8%a3%e0%b8%b1%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b9%82%e0%b8%a3%e0%b8%84%e0%b8%ab%e0%b8%b1%e0%b8%a7%e0%b9%83%e0%b8%88-%e0%b8%ab%e0%b8%a5%e0%b8%ad%e0%b8%94%e0%b9%80%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%94-%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b8%84%e0%b8%a7%e0%b8%b2%e0%b8%a1%e0%b8%94%e0%b8%b1%e0%b8%99%e0%b9%82%e0%b8%a5%e0%b8%ab%e0%b8%b4%e0%b8%95,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-31.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
14,ผู้ที่มีวุฒิการศึกษาปริญญาโท สามารถขอวีซ่าเข้าประเทศสวีเดนแบบใหม่ได้ จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%9c%e0%b8%b9%e0%b9%89%e0%b8%97%e0%b8%b5%e0%b9%88%e0%b8%a1%e0%b8%b5%e0%b8%a7%e0%b8%b8%e0%b8%92%e0%b8%b4%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b8%a8%e0%b8%b6%e0%b8%81%e0%b8%a9%e0%b8%b2%e0%b8%9b%e0%b8%a3%e0%b8%b4%e0%b8%8d%e0%b8%8d%e0%b8%b2%e0%b9%82%e0%b8%97-%e0%b8%aa%e0%b8%b2%e0%b8%a1%e0%b8%b2%e0%b8%a3%e0%b8%96%e0%b8%82%e0%b8%ad%e0%b8%a7%e0%b8%b5%e0%b8%8b%e0%b9%88%e0%b8%b2%e0%b9%80%e0%b8%82%e0%b9%89%e0%b8%b2%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b9%80%e0%b8%97%e0%b8%a8%e0%b8%aa%e0%b8%a7%e0%b8%b5%e0%b9%80%e0%b8%94%e0%b8%99%e0%b9%81%e0%b8%9a%e0%b8%9a%e0%b9%83%e0%b8%ab%e0%b8%a1%e0%b9%88%e0%b9%84%e0%b8%94%e0%b9%89-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-28.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
15,ข่าวปลอม อย่าแชร์!    ไข่ไก่เหี่ยว เกิดจากแม่ไก่เป็นโรคหลอดลมอักเสบติดต่อ,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b9%84%e0%b8%82%e0%b9%88%e0%b9%84%e0%b8%81%e0%b9%88%e0%b9%80%e0%b8%ab%e0%b8%b5%e0%b9%88%e0%b8%a2%e0%b8%a7-%e0%b9%80%e0%b8%81%e0%b8%b4%e0%b8%94%e0%b8%88%e0%b8%b2%e0%b8%81%e0%b9%81%e0%b8%a1%e0%b9%88%e0%b9%84%e0%b8%81%e0%b9%88%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99%e0%b9%82%e0%b8%a3%e0%b8%84%e0%b8%ab%e0%b8%a5%e0%b8%ad%e0%b8%94%e0%b8%a5%e0%b8%a1%e0%b8%ad%e0%b8%b1%e0%b8%81%e0%b9%80%e0%b8%aa%e0%b8%9a%e0%b8%95%e0%b8%b4%e0%b8%94%e0%b8%95%e0%b9%88%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/website-27.jpg,   ข่าวปลอม,นโยบายรัฐบาล-ข่าวสาร
16,"ข่าวปลอม อย่าแชร์! ออมสิน ปล่อยกู้รายวัน 20,000 บาท ยื่นมือช่วยกลุ่มฐานราก",https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%ad%e0%b8%ad%e0%b8%a1%e0%b8%aa%e0%b8%b4-2,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-38.jpg,   ข่าวปลอม,การเงิน-หุ้น
17,ครม. ขยายเวลายกเว้นค่าธรรมเนียมรายปี ให้แก่ผู้ประกอบกิจการโรงงานต่อไปอีก 1 ปี  จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%84%e0%b8%a3%e0%b8%a1-%e0%b8%82%e0%b8%a2%e0%b8%b2%e0%b8%a2%e0%b9%80%e0%b8%a7%e0%b8%a5%e0%b8%b2%e0%b8%a2%e0%b8%81%e0%b9%80%e0%b8%a7%e0%b9%89%e0%b8%99%e0%b8%84%e0%b9%88%e0%b8%b2%e0%b8%98%e0%b8%a3%e0%b8%a3%e0%b8%a1%e0%b9%80%e0%b8%99%e0%b8%b5%e0%b8%a2%e0%b8%a1%e0%b8%a3%e0%b8%b2%e0%b8%a2%e0%b8%9b%e0%b8%b5-%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b9%81%e0%b8%81%e0%b9%88%e0%b8%9c%e0%b8%b9%e0%b9%89%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%81%e0%b8%ad%e0%b8%9a%e0%b8%81%e0%b8%b4%e0%b8%88%e0%b8%81%e0%b8%b2%e0%b8%a3%e0%b9%82%e0%b8%a3%e0%b8%87%e0%b8%87%e0%b8%b2%e0%b8%99%e0%b8%95%e0%b9%88%e0%b8%ad%e0%b9%84%e0%b8%9b%e0%b8%ad%e0%b8%b5%e0%b8%81-1-%e0%b8%9b%e0%b8%b5-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-37.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
18,ข่าวปลอม อย่าแชร์! ผลิตภัณฑ์ D-Shine เสริมสร้างภูมิคุ้มกัน ต้านแบคทีเรียและไวรัส,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%9c%e0%b8%a5%e0%b8%b4%e0%b8%95%e0%b8%a0%e0%b8%b1%e0%b8%93%e0%b8%91%e0%b9%8c-d-shine-%e0%b9%80%e0%b8%aa%e0%b8%a3%e0%b8%b4%e0%b8%a1%e0%b8%aa%e0%b8%a3%e0%b9%89%e0%b8%b2%e0%b8%87%e0%b8%a0%e0%b8%b9%e0%b8%a1%e0%b8%b4%e0%b8%84%e0%b8%b8%e0%b9%89%e0%b8%a1%e0%b8%81%e0%b8%b1%e0%b8%99-%e0%b8%95%e0%b9%89%e0%b8%b2%e0%b8%99%e0%b9%81%e0%b8%9a%e0%b8%84%e0%b8%97%e0%b8%b5%e0%b9%80%e0%b8%a3%e0%b8%b5%e0%b8%a2%e0%b9%81%e0%b8%a5%e0%b8%b0%e0%b9%84%e0%b8%a7%e0%b8%a3%e0%b8%b1%e0%b8%aa,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website-เปลียนรูป-2.jpg,   ข่าวปลอม,ผลิตภัณฑ์สุขภาพ
19,ข่าวปลอม อย่าแชร์! ธ.กรุงไทย เปิดสินเชื่อกรุงไทยเพื่อนักสู้ ดอกเบี้ย 0.5% ผ่อนนาน 48 เดือน ติดแบล็กลิสต์ก็กู้ได้,https://www.antifakenewscenter.com/news/activity/%e0%b8%82%e0%b9%88%e0%b8%b2%e0%b8%a7%e0%b8%9b%e0%b8%a5%e0%b8%ad%e0%b8%a1-%e0%b8%ad%e0%b8%a2%e0%b9%88%e0%b8%b2%e0%b9%81%e0%b8%8a%e0%b8%a3%e0%b9%8c-%e0%b8%98-%e0%b8%81%e0%b8%a3%e0%b8%b8%e0%b8%87-4,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-33.jpg,   ข่าวปลอม,การเงิน-หุ้น
20,คปภ. เพิ่มทางเลือกให้ผู้ใช้รถจักรยานยนต์ต่ออายุประกัน พ.ร.บ. ได้ จากปีต่อปี เป็น 3 - 5 ปี จริงหรือ?,https://www.antifakenewscenter.com/news/activity/%e0%b8%84%e0%b8%9b%e0%b8%a0-%e0%b9%80%e0%b8%9e%e0%b8%b4%e0%b9%88%e0%b8%a1%e0%b8%97%e0%b8%b2%e0%b8%87%e0%b9%80%e0%b8%a5%e0%b8%b7%e0%b8%ad%e0%b8%81%e0%b9%83%e0%b8%ab%e0%b9%89%e0%b8%9c%e0%b8%b9%e0%b9%89%e0%b9%83%e0%b8%8a%e0%b9%89%e0%b8%a3%e0%b8%96%e0%b8%88%e0%b8%b1%e0%b8%81%e0%b8%a3%e0%b8%a2%e0%b8%b2%e0%b8%99%e0%b8%a2%e0%b8%99%e0%b8%95%e0%b9%8c%e0%b8%95%e0%b9%88%e0%b8%ad%e0%b8%ad%e0%b8%b2%e0%b8%a2%e0%b8%b8%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%81%e0%b8%b1%e0%b8%99-%e0%b8%9e-%e0%b8%a3-%e0%b8%9a-%e0%b9%84%e0%b8%94%e0%b9%89-%e0%b8%88%e0%b8%b2%e0%b8%81%e0%b8%9b%e0%b8%b5%e0%b8%95%e0%b9%88%e0%b8%ad%e0%b8%9b%e0%b8%b5-%e0%b9%80%e0%b8%9b%e0%b9%87%e0%b8%99-3-5-%e0%b8%9b%e0%b8%b5-%e0%b8%88%e0%b8%a3%e0%b8%b4%e0%b8%87%e0%b8%ab%e0%b8%a3%e0%b8%b7%e0%b8%ad,https://www.antifakenewscenter.com/wp-content/uploads/2022/06/Website_-35.jpg,   ข่าวจริง,นโยบายรัฐบาล-ข่าวสาร
